Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
1.6,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.62,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.64,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.66,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.68,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.7,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.72,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.74,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.76,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.78,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.8,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.82,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.84,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.86,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.88,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.9,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.92,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.94,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.96,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
1.98,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.02,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.04,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.06,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.08,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.1,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.12,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.14,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.16,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.18,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.2,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.22,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.24,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.26,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.28,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.3,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.32,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.34,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.36,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.38,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.4,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.42,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.44,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.46,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.48,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.5,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.52,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.54,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.56,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.58,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.6,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.62,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.64,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.66,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.68,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.7,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.72,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.74,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.76,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.78,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.8,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.82,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.84,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.86,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.88,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.9,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.92,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.94,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.96,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
2.98,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.02,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.04,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
3.06,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
