Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
1.52,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.54,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.56,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.58,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.6,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.62,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.64,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.66,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.68,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.7,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.72,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.74,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.76,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.78,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.8,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.82,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.84,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.86,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.88,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.9,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.92,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.94,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.96,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
1.98,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.02,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.04,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.06,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.08,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.1,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.12,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.14,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.16,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.18,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.2,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.22,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.24,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.26,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.28,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.3,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.32,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.34,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.36,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.38,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.4,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.42,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.44,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.46,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.48,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.5,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.52,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.54,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.56,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.58,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.6,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.62,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.64,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.66,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.68,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.7,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.72,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.74,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.76,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.78,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.8,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.82,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.84,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.86,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.88,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.9,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.92,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.94,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.96,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
2.98,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.02,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
3.04,PlayerBlue,0,0,0,-3,(0.0, 0.0),0,0,0,0,0
